Ticker,Name,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDX US Equity,ARDELYX INC,-75294000,-97400000,-67545000,-70585000,35,352010,3520,6.8792,9.3745,11.7737,36.8288,470483744,671793792,313730848,111904760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES US Equity,ARES MANAGEMENT CORP - A,-538662016,-637568000,-1896254976,-1435521024,40,402030,4020,77.0466,76.3751,82.9475,86.269,2735972096,4065340928,4248428032,1806343040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGSQ US Equity,ARGOS THERAPEUTICS INC,-70707320,-56006944,-39099244, ,35,352010,3520,190.8619,93.6529,144.4421, ,95317944,202189584,6189474, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNT US Equity,ARIAS INTEL CORP, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANET US Equity,ARISTA NETWORKS INC,180544000,152876000,616348032,479288992,45,452010,4520,32.0494,35.9274,32.4661,30.4542,5303394816,6852380672,17363658752,15943247872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTL US Equity,ARTELO BIOSCIENCES INC,-13502, ,-216821,-1610020, , , ,10.212, ,5.1261,133.9987, , , ,18202980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASND US Equity,ASCENDIS PHARMA A/S - ADR,-49400924,-67351896,-108498864,-167070032,35,352010,3520,8.6853,7.0805,11.2656,12.2012,460349408,656203520,1481590784,2639785728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEEX US Equity,ASIA EQUITY EXCHANGE GROUP I, ,-299862,2751390, ,40,402030,4020, ,439.2855,18.6161, , ,126060000,630169984, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPN US Equity,ASPEN AEROGELS INC,-16597000,-13794000,-10724000,-12247000,10,101010,1010,12.5648,14.1866,18.4727,29.0528,140732048,96517432,115378760,51063592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOME US Equity,AT HOME GROUP INC,-121723000,-87628000,-80775000,-126680000,25,255040,2550,62.7274,65.0029,55.9195,57.0032, , ,913952896,2071811200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATRA US Equity,ATARA BIOTHERAPEUTICS INC,-37446000,-63045000,-107734000,-215696992,35,352010,3520,3.0387,3.8566,18.3282,13.5214,751597120,410848608,556212992,1596337792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTO US Equity,ATENTO SA,-44332000,102095000,66029000,64832000,20,202010,2020,71.1414,68.772,71.5976,71.9709,718336000,565404288,750176896,301034400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATH US Equity,ATHENE HOLDING LTD-CLASS A,1049000000,1199000064,3169999872,2873999872,40,403010,4030,93.3671,92.0887,90.8388,93.4058, ,9076118528,10316144640,7850492928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATKR US Equity,ATKORE INTERNATIONAL GROUP I,114224000,139816000,96532000,107202000,20,201040,2010,85.969,77.9106,70.3009,90.7815, ,1170469760,1235089024,1249022976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY US Equity,ATLANTICA YIELD PLC,193478000,328465984, , ,55,551050,5510,80.8932,80.9754,81.9349,82.2955,1933185920,1939203968,2125608064,1964258304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLT US Equity,ATLAS TECHNOLOGY INTERNATION,-30627, ,-191347, , , , ,5471.5229, ,83.109, , , ,25688654, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
